,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
84,84,2023-02-03 13:31:35+00:00,0,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 Ivermectin looooolz, unless you can shit Covid out.",gofy2020 misrab PeterSweden7 Ivermectin looooolz unless you can shit Covid out,negative
85,85,2023-02-03 12:27:33+00:00,0,Twitter for iPhone,@anbesi Slowly Slowly catchy monkey,anbesi Slowly Slowly catchy monkey,neutral
86,86,2023-02-03 12:24:27+00:00,2,Twitter for iPhone,@GBNEWS Gammon. https://t.co/b3SJiT0abr,GBNEWS Gammon,neutral
87,87,2023-02-03 06:07:34+00:00,1,Twitter for iPhone,"@aretieare @Elliswk7Kennedy @DrAseemMalhotra You’re all fcuking mental, “goes deep “ looooooolz",aretieare Elliswk7Kennedy DrAseemMalhotra Youre all fcuking mental goes deep looooooolz,neutral
88,88,2023-02-03 06:03:30+00:00,2,Twitter for iPhone,"@PippaCrerar She wouldn’t be credible at a kids party, never mind , a room full of adults.",PippaCrerar She wouldnt be credible at a kids party never mind a room full of adults,positive
89,89,2023-02-03 05:59:52+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 375
9️⃣7️⃣
6️⃣5️⃣
https://t.co/NULuuObzBO",ROfiron LittleScoff Daily Quordle 3759765,neutral
90,90,2023-02-03 05:42:16+00:00,1,Twitter for iPhone,"@ROfiron @LittleScoff Friday!

Wordle 594 6/6

⬜🟩⬜🟨⬜
🟨🟩⬜⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",ROfiron LittleScoff FridayWordle 594 66,neutral
91,91,2023-02-03 05:38:33+00:00,2,Twitter for iPhone,"@ConsPost You’ve taken our freedom of movement, you’re not taking more of our rights.",ConsPost Youve taken our freedom of movement youre not taking more of our rights,positive
92,92,2023-02-03 05:37:37+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 You’re a moron if you believe this shit.,gofy2020 misrab PeterSweden7 Youre a moron if you believe this shit,negative
93,93,2023-02-03 05:36:43+00:00,0,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 “Kids at 0 risk”? That is clearly untrue ,the long term effects of Covid are becoming all to apparent.",gofy2020 misrab PeterSweden7 Kids at 0 risk That is clearly untrue the long term effects of Covid are becoming all to apparent,positive
94,94,2023-02-03 05:34:34+00:00,1,Twitter for iPhone,"@Yogi99643217 @go_fy2020 @misrab @PeterSweden7 They did everything they set out to do, slow the infection rate of a virus so the health system does not become overwhelmed.",Yogi99643217 gofy2020 misrab PeterSweden7 They did everything they set out to do slow the infection rate of a virus so the health system does not become overwhelmed,neutral
95,95,2023-02-02 22:45:03+00:00,1,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 Tell me why lockdowns don’t work, why people having less contact won’t limit the spread of an airborne virus?",gofy2020 misrab PeterSweden7 Tell me why lockdowns dont work why people having less contact wont limit the spread of an airborne virus,neutral
96,96,2023-02-02 22:42:36+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 Disprove his points,gofy2020 misrab PeterSweden7 Disprove his points,neutral
97,97,2023-02-02 21:37:01+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 Prove him wrong.,gofy2020 misrab PeterSweden7 Prove him wrong,negative
98,98,2023-02-02 21:33:05+00:00,0,Twitter for iPhone,@loveall_forall @ConofSo @deckman091 @hammerlock14 @PeterSweden7 N95 masks?,loveallforall ConofSo deckman091 hammerlock14 PeterSweden7 N95 masks,neutral
99,99,2023-02-02 21:32:08+00:00,0,Twitter for iPhone,@PeterSweden7 A N95 mask?,PeterSweden7 A N95 mask,neutral
100,100,2023-02-02 21:29:35+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr Just to add to the conspiracy. https://t.co/su9XddOI7n,Greg72639498 landoak162536 RobertKennedyJr Just to add to the conspiracy,negative
101,101,2023-02-02 21:18:21+00:00,0,Twitter for iPhone,"@Pr0bP0stL1b @HodgkinDavid @EFTA4UK Brexit is shit, deal with the criticism of it.",Pr0bP0stL1b HodgkinDavid EFTA4UK Brexit is shit deal with the criticism of it,negative
102,102,2023-02-02 21:17:10+00:00,1,Twitter for iPhone,@jimrosecircus1 Yessssssss! Walkers Ready Salted crisps plenty of butter and two slices of white sliced bread. https://t.co/BHxiSMDHLN,jimrosecircus1 Yessssssss Walkers Ready Salted crisps plenty of butter and two slices of white sliced bread,positive
