,Date Created,Number of Likes,Source of Tweet,Tweets
93,2023-02-03 05:36:43+00:00,0,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 “Kids at 0 risk”? That is clearly untrue ,the long term effects of Covid are becoming all to apparent."
94,2023-02-03 05:34:34+00:00,1,Twitter for iPhone,"@Yogi99643217 @go_fy2020 @misrab @PeterSweden7 They did everything they set out to do, slow the infection rate of a virus so the health system does not become overwhelmed."
95,2023-02-02 22:45:03+00:00,1,Twitter for iPhone,"@go_fy2020 @misrab @PeterSweden7 Tell me why lockdowns don’t work, why people having less contact won’t limit the spread of an airborne virus?"
96,2023-02-02 22:42:36+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 Disprove his points
97,2023-02-02 21:37:01+00:00,0,Twitter for iPhone,@go_fy2020 @misrab @PeterSweden7 Prove him wrong.
98,2023-02-02 21:33:05+00:00,0,Twitter for iPhone,@loveall_forall @ConofSo @deckman091 @hammerlock14 @PeterSweden7 N95 masks?
99,2023-02-02 21:32:08+00:00,0,Twitter for iPhone,@PeterSweden7 A N95 mask?
100,2023-02-02 21:29:35+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr Just to add to the conspiracy. https://t.co/su9XddOI7n
101,2023-02-02 21:18:21+00:00,0,Twitter for iPhone,"@Pr0bP0stL1b @HodgkinDavid @EFTA4UK Brexit is shit, deal with the criticism of it."
102,2023-02-02 21:17:10+00:00,1,Twitter for iPhone,@jimrosecircus1 Yessssssss! Walkers Ready Salted crisps plenty of butter and two slices of white sliced bread. https://t.co/BHxiSMDHLN
103,2023-02-02 21:14:56+00:00,1,Twitter for iPhone,"@Beardybill1 My cousin had the Evol Knevil motorcycle, I want to be team leader!😂😂😂"
104,2023-02-02 21:06:40+00:00,0,Twitter for iPhone,@Greg72639498 @landoak162536 @RobertKennedyJr And the article is believable because?
105,2023-02-02 20:23:59+00:00,0,Twitter for iPhone,@ammejo1 @MichaelJohn81 @shardi2209 @abiroberts @toryboypierce @mailplus There isn’t 350 million people in the UK
106,2023-02-02 19:35:52+00:00,0,Twitter for iPhone,"@ron_hutch @abiroberts @toryboypierce @mailplus Of course you do, but virus mutates and you’re no longer protected, you know, like flu."
107,2023-02-02 19:34:26+00:00,0,Twitter for iPhone,"@SWYW2023 @YCFC1972 @ChrisDuhamelJsy @theonlyindieboy @michellegayle1 @AnyOldIronUSA @chesters_eds @nicd__d @Andrew_Chester I’m playing Michelle this week, good luck Birthday Girrrrl."
